lat,lon
60.0469574,30.3877733
59.9614075,30.3153883
59.9627009,30.294257
59.9720253,30.4358669
60.0028311,30.3604361
59.9368426,30.4836375
59.9392389,30.4753217
59.9365111,30.4891133
59.9002424,30.4794242
59.8573855,30.1792148
59.8590975,30.1847402
59.8799689,30.4607617
59.8772638,30.4574083
59.9177746,30.3455293
59.8676815,30.4619735
59.8468082,30.2443563
59.8398334,30.2361453
59.8509289,30.1768481
59.9988716,29.7682549
59.9178996,30.2893587
59.7334049,30.5771521
59.8756532,30.399276
59.8727648,30.3914417
59.8711455,30.4060391
59.8487739,30.3126445
59.9898234,30.2568059
60.012577,30.2422787
60.0496164,30.3536697
59.8472275,30.3305281
59.8692524,30.3508704
59.9464996,30.469366
59.8904088,30.2707371
60.0327798,30.3846117
60.0264858,30.4123213
59.8284987,30.3980625
60.0244876,30.3952878
60.0365095,30.4127906
60.0071788,30.3520746
59.8120158,30.2904344
59.9399571,30.3208061
59.8644392,30.313389
59.9668869,30.3428667
59.8562287,30.2234066
59.8687791,30.31305
59.8527835,30.3821077
59.8552166,30.3251952
59.8513847,30.30855
59.7456788,30.5919925
59.7494948,30.595274
59.7424461,30.5820126
59.7480903,30.5675259
59.7470426,30.6126364
59.7411197,30.5917366
59.8757977,30.4464687
59.8397995,30.3291796
59.8390122,30.3307833
59.9346832,30.2711543
59.9723813,30.3403979
59.9715314,30.3465221
59.9942777,30.1460337
59.840657,30.3175466
59.8870323,29.8614209
59.8821179,29.8922049
59.9254723,30.4235541
59.9265595,30.4152703
59.8535136,30.3534871
59.7178622,30.0761483
59.7292286,30.0835227
59.7213982,30.068455
59.8285718,30.1565101
59.8325914,30.1476788
60.0270919,30.323444
59.9519805,30.3006939
59.8448614,30.4084304
60.0170353,30.24481
59.9033459,30.2201925
59.8986312,30.213377
59.8494025,30.2683088
59.9242609,30.4501295
59.9235465,30.4529942
59.9582908,30.3129693
59.8329921,30.5070632
59.9323364,30.2394515
59.933617,30.2542495
59.7343598,30.4207417
59.9569766,30.3550403
59.9589439,30.3496178
59.9291358,30.3230078
60.0065532,30.1986593
59.9520931,30.2166638
59.9491968,30.229477
59.9464697,30.2335144
59.9433156,30.2346274
59.9360541,30.2429516
59.9376588,30.2380163
60.0097768,30.3498161
59.9182547,30.3572146
59.9454718,30.3490332
60.0057908,30.4283023
60.0063432,30.4261733
59.7408235,30.5836052
59.9976407,30.3716625
59.7412485,30.5784058
59.8582713,30.3789094
59.8382066,30.2699787
59.8384653,30.2704824
60.0340084,30.3673203
60.011225,30.4010258
59.8364684,30.4038685
59.8595384,30.324109
59.8530811,30.2203831
60.0593574,30.3353886
59.8350613,30.1412673
60.0443526,30.378864
60.0548457,30.3287135
59.9149981,30.486173
59.9891856,29.7637069
59.847191,30.207579
59.8815762,30.2691601
59.8686123,30.2606188
59.810229,30.3812411
59.92667,30.3083673
60.0348447,30.3937294
59.9262,30.4090726
59.9222406,30.4833202
60.0175482,30.2390467
60.0212249,30.2272919
59.8588463,30.2488187
59.7350503,30.6123912
59.927631,30.3117314
59.9382023,30.2830356
59.9417825,30.2757395
59.9876221,30.294622
59.8778768,30.2718469
59.9357815,30.2826638
59.9367644,30.2796848
59.9360349,30.2831308
59.9226123,30.4788504
59.9221417,30.443945
59.965821,30.3127626
59.9616081,30.298762
60.0526943,30.3422594
59.9592479,30.304166
59.940805,30.2817915
59.9415405,30.2809231
59.9416944,30.2809233
59.9592618,30.4400504
59.9535946,30.4347968
59.9673984,30.3096661
