lat,lon
55.9951147,37.2075319
55.7793267,37.6212104
55.7434295,37.5350118
55.8114853,37.8373363
55.6731428,37.7504552
55.7668896,37.6209567
55.7163931,37.4584862
55.7190211,37.4613559
55.7263987,37.4679886
55.6128345,37.7194123
55.6134288,37.7060098
55.6047673,37.7122756
55.6046219,37.7123014
55.8797095,37.5921624
55.5684017,37.5853483
55.6102182,37.7294002
55.6420491,37.5427985
55.7534479,37.7125278
55.6057196,37.7172733
55.6044356,37.7078201
55.6674776,37.4949151
55.664342,37.4697301
55.6703642,37.4772739
55.6458669,37.4860931
55.6553773,37.4811464
55.6463514,37.4777606
55.6985386,37.7793657
55.7800347,37.6018898
55.6838684,37.8532327
55.6686932,37.5914197
55.596367,37.602959
55.8898751,37.3883849
55.7318321,37.663692
55.6273874,37.6160272
55.6335584,37.43856
55.6071348,37.7338664
55.8773927,37.6820999
55.9800201,37.193173
55.9948669,37.1899886
55.7370723,37.8658294
55.7342108,37.8567176
55.6408932,37.3560899
55.6398414,37.3542822
55.6403363,37.3505608
55.3587252,37.1938663
55.7389939,37.4847596
55.7348435,37.4740165
55.7285954,37.4411435
55.7614818,37.7126008
55.3939818,37.2321161
55.3943426,37.2326053
55.6454812,37.5213375
55.6408941,37.5307188
55.7700958,37.6991584
55.6483475,37.5183455
55.720575,37.7383058
55.8853539,37.6021477
55.88378,37.6063764
55.8827121,37.5876315
55.6533549,37.620973
55.6126513,37.697503
55.6126189,37.6967955
55.6225327,37.7051211
55.6147444,37.7111756
55.615006,37.7123799
55.752572,37.81926
55.6621165,37.525864
55.6678017,37.5247774
55.6558246,37.5412153
55.60996,37.5364382
55.6027141,37.5426295
55.6001949,37.5394954
55.6298827,37.6014885
55.6287806,37.5996532
55.6229915,37.6015325
55.6146883,37.6045261
55.6422161,37.6177409
55.6469546,37.6048654
55.6697775,37.5204207
55.6713145,37.5542509
55.6688975,37.5397923
55.6626838,37.5301337
55.4724014,37.3038313
55.6408932,37.4770939
55.6415505,37.4858575
55.7375358,37.4702232
55.619443,37.5009478
55.6975846,37.7867573
55.6749625,37.5727905
55.7292947,37.6217465
55.6100504,37.7202365
55.8698179,37.6810968
55.6886126,37.7265419
55.6465508,37.7153029
55.4681785,37.2970474
55.469729,37.2964395
55.4843274,37.2691716
55.7455731,37.775553
55.8749057,37.6655695
55.6385546,37.3580659
55.6926507,37.527932
55.686831,37.6036132
55.6891995,37.6010857
55.7567427,37.6594148
55.6350781,37.7960752
55.6960789,37.6651207
55.6165849,37.7640299
55.6393697,37.3413661
55.6429137,37.3472667
55.6438643,37.3484592
55.644734,37.3501465
55.7017218,37.563179
55.757837,37.6125722
55.7667614,37.6010717
55.7044573,37.7659249
55.6357251,37.7941436
55.6360594,37.7940063
55.7125332,37.758823
55.7006142,37.8548311
55.5826206,37.6714497
55.4753573,37.3066993
55.8959886,37.6198951
55.6993453,37.7410699
55.7307293,37.6312229
55.719149,37.7788044
55.8050529,37.3998815
55.5399202,37.5096495
55.541423,37.5121705
55.7766082,37.5331486
55.8496625,37.6583953
55.8398018,37.5274631
55.8410548,37.5366147
55.8373377,37.5369086
55.840954,37.5305378
55.6960497,37.8050172
55.7282283,37.7639725
55.7298124,37.7609692
55.6279475,37.7410736
55.6299119,37.7410122
55.6222594,37.7398944
55.6195853,37.7522004
55.6262283,37.7494916
55.8224408,37.8233173
55.6144007,37.7418409
55.8175417,37.8072088
55.8873447,37.6561872
55.8878535,37.6727475
55.7827346,37.7264583
55.7170524,37.4769631
55.889991,37.6178178
55.7014232,37.7910744
55.8879941,37.6155998
55.8494282,37.433499
55.8722055,37.6767263
55.7512243,37.5008038
55.8482742,37.4542885
55.8515083,37.6464827
55.8520071,37.6474747
55.8515484,37.6420847
55.8523313,37.6375317
55.654228,37.7585
55.6478526,37.735601
55.5468599,37.5324411
55.7002305,37.5061231
55.7010877,37.5035386
55.8046153,37.5137956
55.8057063,37.3968646
55.8376494,37.6604826
55.8348422,37.6612719
55.6460934,37.7378457
55.8239453,37.497999
55.7284733,37.4233988
55.8984178,37.6299847
55.7901142,37.6649548
55.7819219,37.5344574
55.6995069,37.8460705
55.7545493,37.8154369
55.7475446,37.5820221
55.6847213,37.5432
55.7846515,37.6604098
55.744836,37.6112984
55.8764383,37.4212814
55.7946722,37.7288203
55.8632157,37.59252
55.6145063,37.4730788
55.8393172,37.5275078
55.7724501,37.6782784
55.776615,37.6824766
55.6344839,37.6139072
55.7906782,37.6830012
55.8451784,37.455293
56.0134417,37.2019424
55.8158917,37.3939797
55.8181157,37.4000178
55.807562,37.5598473
55.7744079,37.5998733
55.7438929,37.8749146
55.6254952,37.7161916
55.743211,37.8792449
55.7973105,37.7180859
55.7971127,37.716816
55.7983608,37.7262648
55.6031353,37.541524
55.6070435,37.5365007
55.6314727,37.4787179
55.5916124,37.5985941
55.6138367,37.494126
55.6063387,37.7419518
55.6050979,37.7489531
55.6491512,37.6061067
55.6522373,37.6111664
55.5966684,37.6634424
55.7453092,37.8179678
55.6589561,37.4027403
55.6537776,37.5989284
55.8235174,37.8076079
55.8156003,37.7974934
55.8081609,37.799399
55.80842,37.7980868
55.5673693,37.5693254
55.6414523,37.5236039
55.6452716,37.5255459
55.6189658,37.5066885
55.6481871,37.4075355
55.8629043,37.6454878
55.8501924,37.4110441
55.6361973,37.5113429
55.7475354,37.8066746
55.644177,37.4948607
55.5644688,37.5743787
55.8499326,37.4244894
55.850284,37.4276975
55.8705301,37.4610852
55.8551258,37.4778037
55.8815664,37.4889103
55.8938054,37.5254484
55.8898544,37.5372816
55.8556113,37.4705048
55.8674251,37.4892615
55.8663,37.4924
55.809603,37.465611
55.8054955,37.4141906
55.8000355,37.4074419
55.7781077,37.5264192
55.8088028,37.493539
55.8201932,37.7975131
55.6516601,37.3976096
55.8784857,37.6303919
55.8754832,37.6212682
55.8639454,37.4700592
55.8462378,37.3577058
55.6570578,37.4066882
55.645064,37.398311
55.8055997,37.413063
55.8722214,37.6496841
55.8772079,37.651871
55.8628818,37.6616408
55.8621076,37.6677882
55.7438274,37.8743666
55.8358397,37.3860802
